radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,size,flag,x,y,cloud_id,status
LTE,216.0,30.0,1430.0,442627.0,0.0,19.638016,46.9048,66934.0,2.0,1.0,1427028128.0,1427028128.0,0.0,684.0,0.0,22234874.12623592,6169694.210280294,3.0,1.0
LTE,216.0,30.0,1430.0,452866.0,0.0,19.62061,46.914353,65382.0,2.0,1.0,1427051720.0,1457513721.0,0.0,618.0,0.0,22232935.51641202,6168777.952744771,3.0,1.0
LTE,216.0,30.0,12000.0,360450.0,0.0,19.085671,47.47435,98206.0,116.0,1.0,1427102833.0,1505801680.0,0.0,918.0,0.0,22173356.175921004,6114901.652460655,3.0,1.0
LTE,216.0,30.0,12000.0,360193.0,0.0,19.120136,47.466468,99887.0,189.0,1.0,1427103203.0,1675856400.0,0.0,692.0,0.0,22177194.74811339,6115662.237233163,3.0,1.0
LTE,216.0,30.0,12002.0,98051.0,0.0,19.14808,47.463101,57444.0,324.0,1.0,1427141533.0,1484885369.0,0.0,741.0,0.0,22180307.037721515,6115987.120758995,3.0,1.0
LTE,216.0,30.0,12000.0,229890.0,0.0,19.093617,47.497104,96933.0,566.0,1.0,1427143154.0,1505664700.0,0.0,685.0,0.0,22174241.16923714,6112705.606231106,3.0,1.0
LTE,216.0,30.0,12000.0,360196.0,0.0,19.075393,47.485346,53989.0,131.0,1.0,1427175912.0,1680772008.0,0.0,635.0,0.0,22172211.45388435,6113840.468654677,3.0,1.0
LTE,216.0,30.0,12000.0,359169.0,0.0,19.056455,47.505247,136162.0,109.0,1.0,1427187975.0,1689175757.0,0.0,916.0,0.0,22170102.216101687,6111919.572232073,3.0,1.0
LTE,216.0,30.0,12000.0,359171.0,0.0,19.030038,47.50711,58301.0,44.0,1.0,1427262126.0,1681289808.0,0.0,765.0,0.0,22167159.997572564,6111739.729266291,3.0,1.0
LTE,216.0,30.0,12000.0,359939.0,0.0,19.089372,47.497839,77836.0,118.0,1.0,1427292924.0,1689175471.0,0.0,639.0,0.0,22173768.37832008,6112634.660431591,3.0,1.0
LTE,216.0,30.0,12000.0,99075.0,0.0,19.077994,47.512099,62987.0,274.0,1.0,1427304251.0,1619187889.0,0.0,993.0,0.0,22172501.142736007,6111258.102804776,3.0,1.0
LTE,216.0,30.0,12000.0,360707.0,0.0,19.083901,47.513621,104663.0,66.0,1.0,1427350161.0,1685962558.0,0.0,834.0,0.0,22173159.04048562,6111111.167243391,3.0,1.0
LTE,216.0,30.0,12002.0,153089.0,0.0,19.213723,47.435802,52533.0,894.0,1.0,1427364725.0,1474364171.0,0.0,552.0,0.0,22187618.089351423,6118620.775042526,3.0,1.0
