user_id,count,size
93636,149,146.0
88149,149,115.0
55140,149,134.0
91182,149,140.0
80062,149,136.0
93033,149,64.0
103756,149,110.0
88044,149,76.0
105393,149,133.0
80408,149,149.0
71590,149,64.0
29510,149,75.0
100811,149,124.0
101061,149,59.0
62116,149,102.0
82553,149,68.0
105796,149,117.0
94514,149,98.0
105891,149,62.0
104243,149,132.0
99036,149,147.0
98232,149,98.0
91411,149,96.0
5231,149,66.0
83268,149,104.0
101137,148,83.0
77820,148,70.0
107161,148,87.0
66152,148,55.0
10203,148,86.0
100365,148,91.0
66587,148,79.0
78812,148,125.0
105042,148,142.0
76611,148,90.0
93123,148,94.0
59888,148,66.0
103048,148,86.0
42224,148,90.0
75176,148,52.0
100450,148,121.0
87525,148,62.0
101293,148,135.0
8300,148,100.0
59077,148,83.0
42747,148,134.0
56971,148,75.0
90248,148,64.0
40161,148,79.0
60877,148,140.0
71496,148,58.0
90263,148,71.0
98283,148,129.0
67932,148,109.0
103079,148,115.0
90257,148,148.0
54509,148,148.0
93400,148,111.0
9437,148,50.0
88244,148,100.0
94704,147,70.0
43381,147,92.0
99920,147,87.0
93706,147,74.0
59283,147,93.0
94485,147,52.0
24520,147,118.0
67760,147,105.0
90528,147,123.0
95787,147,121.0
87353,147,87.0
86437,147,82.0
92900,147,113.0
24492,147,69.0
98777,147,122.0
84954,147,107.0
81749,147,56.0
104296,147,124.0
63785,147,101.0
97808,147,115.0
102962,147,138.0
53510,147,60.0
95183,147,132.0
64838,147,86.0
92485,147,114.0
92918,147,129.0
46124,147,60.0
96470,147,111.0
102332,146,112.0
86434,146,67.0
82096,146,112.0
82325,146,69.0
92072,146,123.0
106640,146,119.0
46704,146,71.0
69893,146,102.0
106724,146,65.0
86611,146,91.0
98389,146,135.0
85741,146,80.0
48754,146,59.0
99785,146,129.0
83759,146,150.0
23389,146,110.0
92911,146,106.0
66553,146,108.0
85610,146,126.0
28094,146,111.0
93700,146,122.0
52195,146,75.0
85311,146,136.0
22748,146,100.0
83907,146,87.0
38274,146,94.0
102804,146,54.0
70989,146,73.0
85044,146,105.0
100455,146,120.0
106144,146,103.0
104984,146,135.0
46321,146,135.0
99866,146,50.0
107629,145,53.0
72925,145,126.0
76875,145,116.0
47818,145,78.0
33237,145,142.0
103030,145,79.0
106803,145,138.0
94313,145,119.0
72525,145,62.0
95019,145,57.0
107661,145,61.0
94661,145,128.0
64509,145,77.0
98064,145,128.0
95344,145,77.0
101891,145,107.0
104976,145,86.0
103023,145,91.0
94792,145,126.0
52293,145,82.0
102768,145,136.0
106051,145,117.0
102720,145,107.0
14110,144,129.0
85977,144,119.0
86736,144,68.0
97858,144,55.0
111950,144,90.0
92726,144,127.0
104107,144,105.0
95295,144,51.0
80287,144,105.0
102703,144,103.0
34976,144,91.0
104034,144,95.0
85631,144,78.0
98015,144,96.0
63258,144,50.0
19286,144,139.0
103249,144,105.0
67571,144,100.0
62734,144,119.0
105949,144,105.0
79761,144,103.0
91424,144,88.0
54757,144,112.0
65010,144,76.0
88802,144,106.0
94440,144,86.0
104975,144,126.0
100178,144,89.0
89199,143,110.0
22281,143,145.0
108701,143,94.0
62612,143,89.0
51307,143,137.0
74522,143,122.0
92102,143,55.0
83401,143,124.0
95909,143,104.0
96616,143,94.0
106188,143,59.0
112187,143,125.0
58910,143,112.0
87625,143,119.0
85154,143,62.0
71471,143,112.0
72242,143,131.0
75182,143,53.0
95191,143,66.0
59311,143,149.0
85805,143,106.0
101908,143,106.0
107963,143,109.0
56391,143,74.0
20258,143,89.0
77714,143,84.0
74371,143,66.0
11577,143,80.0
112503,143,70.0
60214,143,134.0
107669,143,94.0
